prompt,label,label_name,source_detail,file_source,source_family,attack_type,risk_subtype,origin_type,pair_id,split_group_id,quality_flags,source_group,is_hard_negative,replacement_role,style_family,length,length_bin,normal_category,split,generation_group,prompt_original_v9,numeric_prefix_removed_flag,removed_numeric_prefix,prompt_after_prefix_removal,_norm,lr_pred,svm_pred,lr_proba
"거울을 멀리하건 가까이하건 보이는 면적은 똑같다는데, 사실인가요? 
저는 거울에 비친 제 모습을 가까이하고 멀리서도 비교해봤습니다. 가까이서 볼때는 눈썹부터 턱선까지 보이긴 하지만 멀리서 볼때는 눈썹부터 턱선까지만 볼 수 있더라구요. 이런 차이가 왜 생길까요?",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_03704,v3_row_03704,,normal,False,,general_instruction,145,100_199,general_normal,test,,"거울을 멀리하건 가까이하건 보이는 면적은 똑같다는데, 사실인가요? 
저는 거울에 비친 제 모습을 가까이하고 멀리서도 비교해봤습니다. 가까이서 볼때는 눈썹부터 턱선까지 보이긴 하지만 멀리서 볼때는 눈썹부터 턱선까지만 볼 수 있더라구요. 이런 차이가 왜 생길까요?",False,,"거울을 멀리하건 가까이하건 보이는 면적은 똑같다는데, 사실인가요? 
저는 거울에 비친 제 모습을 가까이하고 멀리서도 비교해봤습니다. 가까이서 볼때는 눈썹부터 턱선까지 보이긴 하지만 멀리서 볼때는 눈썹부터 턱선까지만 볼 수 있더라구요. 이런 차이가 왜 생길까요?",거울을 멀리하건 가까이하건 보이는 면적은 똑같다는데 사실인가요 저는 거울에 비친 제 모습을 가까이하고 멀리서도 비교해봤습니다 가까이서 볼때는 눈썹부터 턱선까지 보이긴 하지만 멀리서 볼때는 눈썹부터 턱선까지만 볼 수 있더라구요 이런 차이가 왜 생길까요,1,1,0.5908612795963618
태풍 매미의 최대/최저 시속을 알려줘,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,reference_pool,,,,v3_row_03115,v3_row_03115,,normal,False,,short_general_question,20,20_99,general_normal,test,,태풍 매미의 최대/최저 시속을 알려줘,False,,태풍 매미의 최대/최저 시속을 알려줘,태풍 매미의 최대 최저 시속을 알려줘,1,1,0.613714152495277
"결명자를 먹으면 눈이 맑아지는 건가요? 
눈이 좋지 않은 사람들이 결명자를 먹으면 시력이 회복된다는 말이 있습니다. 이에 대해 사실인지 궁금합니다.",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_03439,v3_row_03439,,normal,False,,general_instruction,82,20_99,general_normal,test,,"결명자를 먹으면 눈이 맑아지는 건가요? 
눈이 좋지 않은 사람들이 결명자를 먹으면 시력이 회복된다는 말이 있습니다. 이에 대해 사실인지 궁금합니다.",False,,"결명자를 먹으면 눈이 맑아지는 건가요? 
눈이 좋지 않은 사람들이 결명자를 먹으면 시력이 회복된다는 말이 있습니다. 이에 대해 사실인지 궁금합니다.",결명자를 먹으면 눈이 맑아지는 건가요 눈이 좋지 않은 사람들이 결명자를 먹으면 시력이 회복된다는 말이 있습니다 이에 대해 사실인지 궁금합니다,1,0,0.5419317861842122
"3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다. 환경부 본부 1급 실장은 기획조정실장, 기후탄소정책실장, 물관리정책실장 등 3명이다.

사표 제출 시점은 약 한 달 전으로 알려졌다.

사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다.

실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ""해당 부처는 장관 직권으로 인사쇄신 차원에서 1급 공직자들 사표를 받은 것""이라고 설명했다.

환경부는 지난달 윤석열 대통령이 ""탈원전, 이념적 환경정책에 매몰돼 새로운 국정 기조에 맞추지 않고 애매한 스탠스를 취한다면 과감하게 인사조치 하라""라고 장관들에게 지시했다는 사실이 알려진 뒤 인사쇄신이 단행될 것이라는 소문에 휩싸인 바 있다.

다만 당시 환경부 안팎에선 윤 대통령이 환경정책 전반보다는 원자력발전 관련 정책에 초점을 두고 지적한 것이라는 풀이가 지배적이었다. 윤 대통령 발언 직후 에너지·원전 정책을 총괄하는 산업통상자원부 제2차관이 교체된 점도 이런 해석에 무게를 실었다.

환경부 1급 실장들은 행정고시 36회(기술고시 28회) 또는 38회 출신으로 타 부처 1급들보다 기수가 높다는 점도 이번 사표의 배경으로 알려졌다.
--------
위 내용을 요약해줘",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,reference_pool,,,,v3_row_02260,v3_row_02260,,normal,False,,email_document_summary,677,600_699,general_normal,test,,"3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다. 환경부 본부 1급 실장은 기획조정실장, 기후탄소정책실장, 물관리정책실장 등 3명이다.

사표 제출 시점은 약 한 달 전으로 알려졌다.

사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다.

실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ""해당 부처는 장관 직권으로 인사쇄신 차원에서 1급 공직자들 사표를 받은 것""이라고 설명했다.

환경부는 지난달 윤석열 대통령이 ""탈원전, 이념적 환경정책에 매몰돼 새로운 국정 기조에 맞추지 않고 애매한 스탠스를 취한다면 과감하게 인사조치 하라""라고 장관들에게 지시했다는 사실이 알려진 뒤 인사쇄신이 단행될 것이라는 소문에 휩싸인 바 있다.

다만 당시 환경부 안팎에선 윤 대통령이 환경정책 전반보다는 원자력발전 관련 정책에 초점을 두고 지적한 것이라는 풀이가 지배적이었다. 윤 대통령 발언 직후 에너지·원전 정책을 총괄하는 산업통상자원부 제2차관이 교체된 점도 이런 해석에 무게를 실었다.

환경부 1급 실장들은 행정고시 36회(기술고시 28회) 또는 38회 출신으로 타 부처 1급들보다 기수가 높다는 점도 이번 사표의 배경으로 알려졌다.
--------
위 내용을 요약해줘",False,,"3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다. 환경부 본부 1급 실장은 기획조정실장, 기후탄소정책실장, 물관리정책실장 등 3명이다.

사표 제출 시점은 약 한 달 전으로 알려졌다.

사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다.

실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ""해당 부처는 장관 직권으로 인사쇄신 차원에서 1급 공직자들 사표를 받은 것""이라고 설명했다.

환경부는 지난달 윤석열 대통령이 ""탈원전, 이념적 환경정책에 매몰돼 새로운 국정 기조에 맞추지 않고 애매한 스탠스를 취한다면 과감하게 인사조치 하라""라고 장관들에게 지시했다는 사실이 알려진 뒤 인사쇄신이 단행될 것이라는 소문에 휩싸인 바 있다.

다만 당시 환경부 안팎에선 윤 대통령이 환경정책 전반보다는 원자력발전 관련 정책에 초점을 두고 지적한 것이라는 풀이가 지배적이었다. 윤 대통령 발언 직후 에너지·원전 정책을 총괄하는 산업통상자원부 제2차관이 교체된 점도 이런 해석에 무게를 실었다.

환경부 1급 실장들은 행정고시 36회(기술고시 28회) 또는 38회 출신으로 타 부처 1급들보다 기수가 높다는 점도 이번 사표의 배경으로 알려졌다.
--------
위 내용을 요약해줘",3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다 환경부 본부 1급 실장은 기획조정실장 기후탄소정책실장 물관리정책실장 등 3명이다 사표 제출 시점은 약 한 달 전으로 알려졌다 사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다 실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ,1,0,0.5105909098092118
"""모든 길은 로마로 통한다""라는 말의 정확한 뜻과 유래는 무엇인가요?",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_02380,v3_row_02380,,normal,False,,short_general_question,38,20_99,general_normal,test,,"""모든 길은 로마로 통한다""라는 말의 정확한 뜻과 유래는 무엇인가요?",False,,"""모든 길은 로마로 통한다""라는 말의 정확한 뜻과 유래는 무엇인가요?",모든 길은 로마로 통한다 라는 말의 정확한 뜻과 유래는 무엇인가요,0,1,0.2945708423640857
식품에서 발암물질을 제거하기 위한 기술적인 접근 방법은 무엇인지 서술하라.,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,reference_pool,,,,v3_row_03840,v3_row_03840,,normal,False,,short_general_question,41,20_99,general_normal,test,,식품에서 발암물질을 제거하기 위한 기술적인 접근 방법은 무엇인지 서술하라.,False,,식품에서 발암물질을 제거하기 위한 기술적인 접근 방법은 무엇인지 서술하라.,식품에서 발암물질을 제거하기 위한 기술적인 접근 방법은 무엇인지 서술하라,0,1,0.42718442578280447
rtx4090 2개를 삽입한 시스템이 있으면 Koalpaka를 원활히 돌릴 수 있을까?,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,reference_pool,,,,v3_row_03024,v3_row_03024,,normal,False,,short_general_question,48,20_99,general_normal,test,,rtx4090 2개를 삽입한 시스템이 있으면 Koalpaka를 원활히 돌릴 수 있을까?,False,,rtx4090 2개를 삽입한 시스템이 있으면 Koalpaka를 원활히 돌릴 수 있을까?,rtxNUM 2개를 삽입한 시스템이 있으면 koalpaka를 원활히 돌릴 수 있을까,1,1,0.5082838643199427
GPS 기기나 스마트폰 앱에 의존하는 대신 종이 지도를 사용하거나 길 찾기를 요청하는 이유는 뭘까?,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,reference_pool,,,,v3_row_01973,v3_row_01973,,normal,False,,short_general_question,55,20_99,general_normal,test,,GPS 기기나 스마트폰 앱에 의존하는 대신 종이 지도를 사용하거나 길 찾기를 요청하는 이유는 뭘까?,False,,GPS 기기나 스마트폰 앱에 의존하는 대신 종이 지도를 사용하거나 길 찾기를 요청하는 이유는 뭘까?,gps 기기나 스마트폰 앱에 의존하는 대신 종이 지도를 사용하거나 길 찾기를 요청하는 이유는 뭘까,1,1,0.604031550543196
"집에 다이아인지 아닌지 구별 못하는데, 망치로 내려쳐서 안부서지면 다이아라고 확신해도 될까요? 
집에 다이아인지 아닌지 모르겠다면, 다이아몬드 구별법이 궁금할 것입니다. 인터넷에 떠도는 '물 뿌리기'나 '유성펜으로 칠하기' 등 다이아몬드의 감별법이 있다고 하지만 정확하지 않아 확신이 들지 않는 경우에는 망치로 내려쳐서 안 부서지면 다이아라고 볼 수 있을까요?",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_03148,v3_row_03148,,normal,False,,general_instruction,201,200_299,general_normal,test,,"집에 다이아인지 아닌지 구별 못하는데, 망치로 내려쳐서 안부서지면 다이아라고 확신해도 될까요? 
집에 다이아인지 아닌지 모르겠다면, 다이아몬드 구별법이 궁금할 것입니다. 인터넷에 떠도는 '물 뿌리기'나 '유성펜으로 칠하기' 등 다이아몬드의 감별법이 있다고 하지만 정확하지 않아 확신이 들지 않는 경우에는 망치로 내려쳐서 안 부서지면 다이아라고 볼 수 있을까요?",False,,"집에 다이아인지 아닌지 구별 못하는데, 망치로 내려쳐서 안부서지면 다이아라고 확신해도 될까요? 
집에 다이아인지 아닌지 모르겠다면, 다이아몬드 구별법이 궁금할 것입니다. 인터넷에 떠도는 '물 뿌리기'나 '유성펜으로 칠하기' 등 다이아몬드의 감별법이 있다고 하지만 정확하지 않아 확신이 들지 않는 경우에는 망치로 내려쳐서 안 부서지면 다이아라고 볼 수 있을까요?",집에 다이아인지 아닌지 구별 못하는데 망치로 내려쳐서 안부서지면 다이아라고 확신해도 될까요 집에 다이아인지 아닌지 모르겠다면 다이아몬드 구별법이 궁금할 것입니다 인터넷에 떠도는 물 뿌리기 나 유성펜으로 칠하기 등 다이아몬드의 감별법이 있다고 하지만 정확하지 않아 확신이 들지 않는 경우에는 망치로 내려쳐서 안 부서지면 다이아라고 볼 수 있을까요,1,1,0.7240093393023637
"우유를 데우면서 막이 안 생기도록 하는 방법이 있을까요? 
커피나 밀크티를 좋아해서 집에서 우유를 데우려고 하면 전자렌지로 데워도 막이 생기고, 냄비에 끓여도 막이 계속 생겨서 당황스럽습니다. 스팀기는 돈이 부족해서 구매할 수 없는 상황입니다.",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_00337,v3_row_00337,,normal,False,,general_instruction,136,100_199,general_normal,test,,"우유를 데우면서 막이 안 생기도록 하는 방법이 있을까요? 
커피나 밀크티를 좋아해서 집에서 우유를 데우려고 하면 전자렌지로 데워도 막이 생기고, 냄비에 끓여도 막이 계속 생겨서 당황스럽습니다. 스팀기는 돈이 부족해서 구매할 수 없는 상황입니다.",False,,"우유를 데우면서 막이 안 생기도록 하는 방법이 있을까요? 
커피나 밀크티를 좋아해서 집에서 우유를 데우려고 하면 전자렌지로 데워도 막이 생기고, 냄비에 끓여도 막이 계속 생겨서 당황스럽습니다. 스팀기는 돈이 부족해서 구매할 수 없는 상황입니다.",우유를 데우면서 막이 안 생기도록 하는 방법이 있을까요 커피나 밀크티를 좋아해서 집에서 우유를 데우려고 하면 전자렌지로 데워도 막이 생기고 냄비에 끓여도 막이 계속 생겨서 당황스럽습니다 스팀기는 돈이 부족해서 구매할 수 없는 상황입니다,1,1,0.59360073343737
비싸면 비쌀수록 사람들이 더 갖고싶어하거나 더 잘 팔리는 현상을 뭐라고 할까요?,0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,reference_pool,,,,v3_row_01367,v3_row_01367,,normal,False,,short_general_question,44,20_99,general_normal,test,,비싸면 비쌀수록 사람들이 더 갖고싶어하거나 더 잘 팔리는 현상을 뭐라고 할까요?,False,,비싸면 비쌀수록 사람들이 더 갖고싶어하거나 더 잘 팔리는 현상을 뭐라고 할까요?,비싸면 비쌀수록 사람들이 더 갖고싶어하거나 더 잘 팔리는 현상을 뭐라고 할까요,1,0,0.5212665062624557
