source_family,style_family,length_bin,label_name,count
llm_generated_pool,external_content_rag,600_699,normal,493
llm_generated_pool,external_content_rag,600_699,risky_prompt,488
llm_generated_pool,general_instruction,100_199,normal,503
llm_generated_pool,general_instruction,200_299,normal,493
llm_generated_pool,general_instruction,20_99,normal,476
llm_generated_pool,general_instruction,300_399,normal,495
llm_generated_pool,general_instruction,400_499,normal,502
llm_generated_pool,general_instruction,500_599,normal,497
llm_generated_pool,general_instruction,600_699,normal,494
llm_generated_pool,jailbreak_instruction,100_199,risky_prompt,590
llm_generated_pool,jailbreak_instruction,200_299,risky_prompt,467
llm_generated_pool,jailbreak_instruction,20_99,risky_prompt,484
llm_generated_pool,jailbreak_instruction,300_399,risky_prompt,481
llm_generated_pool,jailbreak_instruction,400_499,risky_prompt,478
llm_generated_pool,jailbreak_instruction,500_599,risky_prompt,483
llm_generated_pool,jailbreak_instruction,600_699,risky_prompt,482
llm_generated_pool,normal_like_subtle_attack,100_199,risky_prompt,603
llm_generated_pool,normal_like_subtle_attack,200_299,risky_prompt,469
llm_generated_pool,normal_like_subtle_attack,20_99,risky_prompt,723
llm_generated_pool,normal_like_subtle_attack,300_399,risky_prompt,471
llm_generated_pool,normal_like_subtle_attack,400_499,risky_prompt,476
llm_generated_pool,normal_like_subtle_attack,500_599,risky_prompt,488
llm_generated_pool,normal_like_subtle_attack,600_699,risky_prompt,481
llm_generated_pool,obfuscated_attack,100_199,risky_prompt,463
llm_generated_pool,obfuscated_attack,200_299,risky_prompt,467
llm_generated_pool,obfuscated_attack,20_99,risky_prompt,480
llm_generated_pool,obfuscated_attack,300_399,risky_prompt,492
llm_generated_pool,obfuscated_attack,400_499,risky_prompt,478
llm_generated_pool,obfuscated_attack,500_599,risky_prompt,490
llm_generated_pool,obfuscated_attack,600_699,risky_prompt,485
llm_generated_pool,privacy_safe_summary,100_199,normal,743
llm_generated_pool,privacy_safe_summary,200_299,normal,508
llm_generated_pool,privacy_safe_summary,20_99,normal,476
llm_generated_pool,privacy_safe_summary,300_399,normal,504
llm_generated_pool,privacy_safe_summary,400_499,normal,504
llm_generated_pool,privacy_safe_summary,500_599,normal,499
llm_generated_pool,privacy_safe_summary,600_699,normal,501
llm_generated_pool,roleplay_instruction,100_199,risky_prompt,469
llm_generated_pool,roleplay_instruction,200_299,risky_prompt,473
llm_generated_pool,roleplay_instruction,20_99,risky_prompt,475
llm_generated_pool,roleplay_instruction,300_399,risky_prompt,478
llm_generated_pool,roleplay_instruction,400_499,risky_prompt,477
llm_generated_pool,roleplay_instruction,500_599,risky_prompt,488
llm_generated_pool,roleplay_instruction,600_699,risky_prompt,489
llm_generated_pool,short_general_question,100_199,normal,495
llm_generated_pool,short_general_question,200_299,normal,498
llm_generated_pool,short_general_question,20_99,normal,483
llm_generated_pool,short_general_question,300_399,normal,498
llm_generated_pool,short_general_question,400_499,normal,496
llm_generated_pool,short_general_question,500_599,normal,497
llm_generated_pool,short_general_question,600_699,normal,506
llm_generated_pool,tool_api_instruction,100_199,normal,496
llm_generated_pool,tool_api_instruction,100_199,risky_prompt,480
llm_generated_pool,tool_api_instruction,200_299,normal,509
llm_generated_pool,tool_api_instruction,200_299,risky_prompt,467
llm_generated_pool,tool_api_instruction,20_99,normal,475
llm_generated_pool,tool_api_instruction,20_99,risky_prompt,489
llm_generated_pool,tool_api_instruction,300_399,normal,494
llm_generated_pool,tool_api_instruction,300_399,risky_prompt,484
llm_generated_pool,tool_api_instruction,400_499,normal,502
llm_generated_pool,tool_api_instruction,400_499,risky_prompt,495
llm_generated_pool,tool_api_instruction,500_599,normal,498
llm_generated_pool,tool_api_instruction,500_599,risky_prompt,486
llm_generated_pool,tool_api_instruction,600_699,normal,501
llm_generated_pool,tool_api_instruction,600_699,risky_prompt,479
normal_evol_writing_source,business_task,300_399,normal,12
normal_evol_writing_source,business_task,400_499,normal,133
normal_evol_writing_source,business_task,500_599,normal,235
normal_evol_writing_source,business_task,600_699,normal,177
normal_evol_writing_source,code_explanation,300_399,normal,1
normal_evol_writing_source,code_explanation,400_499,normal,4
normal_evol_writing_source,code_explanation,500_599,normal,14
normal_evol_writing_source,code_explanation,600_699,normal,17
normal_evol_writing_source,email_document_summary,400_499,normal,6
normal_evol_writing_source,email_document_summary,500_599,normal,13
normal_evol_writing_source,email_document_summary,600_699,normal,12
normal_evol_writing_source,general_instruction,300_399,normal,1
normal_evol_writing_source,general_instruction,400_499,normal,4
normal_evol_writing_source,general_instruction,500_599,normal,20
normal_evol_writing_source,general_instruction,600_699,normal,16
normal_evol_writing_source,privacy_safe_summary,500_599,normal,2
normal_evol_writing_source,privacy_safe_summary,600_699,normal,1
normal_evol_writing_source,report_writing,400_499,normal,1
normal_evol_writing_source,report_writing,500_599,normal,5
normal_evol_writing_source,report_writing,600_699,normal,5
normal_evol_writing_source,translation_request,500_599,normal,1
normal_instruction_source,business_task,100_199,normal,98
normal_instruction_source,business_task,200_299,normal,130
normal_instruction_source,business_task,20_99,normal,3
normal_instruction_source,business_task,300_399,normal,115
normal_instruction_source,business_task,400_499,normal,68
normal_instruction_source,business_task,500_599,normal,50
normal_instruction_source,business_task,600_699,normal,36
normal_instruction_source,code_explanation,100_199,normal,27
normal_instruction_source,code_explanation,200_299,normal,53
normal_instruction_source,code_explanation,20_99,normal,3
normal_instruction_source,code_explanation,300_399,normal,65
normal_instruction_source,code_explanation,400_499,normal,49
normal_instruction_source,code_explanation,500_599,normal,43
normal_instruction_source,code_explanation,600_699,normal,20
normal_instruction_source,email_document_summary,200_299,normal,6
normal_instruction_source,email_document_summary,300_399,normal,2
normal_instruction_source,email_document_summary,400_499,normal,2
normal_instruction_source,email_document_summary,500_599,normal,2
normal_instruction_source,email_document_summary,600_699,normal,2
normal_instruction_source,general_instruction,100_199,normal,253
normal_instruction_source,general_instruction,200_299,normal,169
normal_instruction_source,general_instruction,20_99,normal,24
normal_instruction_source,general_instruction,300_399,normal,101
normal_instruction_source,general_instruction,400_499,normal,69
normal_instruction_source,general_instruction,500_599,normal,42
normal_instruction_source,general_instruction,600_699,normal,27
normal_instruction_source,privacy_safe_summary,100_199,normal,4
normal_instruction_source,privacy_safe_summary,200_299,normal,8
normal_instruction_source,privacy_safe_summary,300_399,normal,1
normal_instruction_source,privacy_safe_summary,400_499,normal,1
normal_instruction_source,privacy_safe_summary,500_599,normal,1
normal_instruction_source,privacy_safe_summary,600_699,normal,6
normal_instruction_source,report_writing,200_299,normal,3
normal_instruction_source,report_writing,300_399,normal,1
normal_instruction_source,report_writing,400_499,normal,3
normal_instruction_source,report_writing,500_599,normal,2
normal_instruction_source,short_general_question,20_99,normal,20
normal_instruction_source,translation_request,100_199,normal,5
normal_instruction_source,translation_request,200_299,normal,4
normal_instruction_source,translation_request,300_399,normal,1
normal_instruction_source,translation_request,600_699,normal,2
normal_realqa_source,business_task,100_199,normal,29
normal_realqa_source,business_task,200_299,normal,12
normal_realqa_source,business_task,20_99,normal,67
normal_realqa_source,business_task,300_399,normal,3
normal_realqa_source,business_task,400_499,normal,3
normal_realqa_source,business_task,500_599,normal,1
normal_realqa_source,business_task,600_699,normal,1
normal_realqa_source,code_explanation,200_299,normal,3
normal_realqa_source,code_explanation,20_99,normal,12
normal_realqa_source,email_document_summary,100_199,normal,3
normal_realqa_source,email_document_summary,200_299,normal,2
normal_realqa_source,email_document_summary,20_99,normal,3
normal_realqa_source,email_document_summary,300_399,normal,6
normal_realqa_source,email_document_summary,400_499,normal,3
normal_realqa_source,email_document_summary,500_599,normal,2
normal_realqa_source,email_document_summary,600_699,normal,6
normal_realqa_source,general_instruction,100_199,normal,186
normal_realqa_source,general_instruction,200_299,normal,29
normal_realqa_source,general_instruction,20_99,normal,85
normal_realqa_source,general_instruction,300_399,normal,5
normal_realqa_source,general_instruction,400_499,normal,3
normal_realqa_source,general_instruction,500_599,normal,2
normal_realqa_source,privacy_safe_summary,20_99,normal,5
normal_realqa_source,report_writing,500_599,normal,1
normal_realqa_source,short_general_question,20_99,normal,1230
normal_realqa_source,translation_request,200_299,normal,3
normal_realqa_source,translation_request,20_99,normal,3
normal_realqa_source,translation_request,600_699,normal,1
spml_papago_family,context_extraction,20_99,risky_prompt,3
spml_papago_family,external_content_rag,100_199,risky_prompt,10
spml_papago_family,external_content_rag,200_299,risky_prompt,23
spml_papago_family,external_content_rag,20_99,risky_prompt,10
spml_papago_family,external_content_rag,300_399,risky_prompt,12
spml_papago_family,external_content_rag,400_499,risky_prompt,17
spml_papago_family,external_content_rag,500_599,risky_prompt,11
spml_papago_family,external_content_rag,600_699,risky_prompt,17
spml_papago_family,jailbreak_instruction,100_199,risky_prompt,79
spml_papago_family,jailbreak_instruction,200_299,risky_prompt,42
spml_papago_family,jailbreak_instruction,20_99,risky_prompt,149
spml_papago_family,jailbreak_instruction,300_399,risky_prompt,26
spml_papago_family,jailbreak_instruction,400_499,risky_prompt,20
spml_papago_family,jailbreak_instruction,500_599,risky_prompt,13
spml_papago_family,jailbreak_instruction,600_699,risky_prompt,15
spml_papago_family,normal_like_subtle_attack,100_199,risky_prompt,9
spml_papago_family,normal_like_subtle_attack,200_299,risky_prompt,18
spml_papago_family,normal_like_subtle_attack,20_99,risky_prompt,17
spml_papago_family,normal_like_subtle_attack,300_399,risky_prompt,22
spml_papago_family,normal_like_subtle_attack,400_499,risky_prompt,19
spml_papago_family,normal_like_subtle_attack,500_599,risky_prompt,14
spml_papago_family,normal_like_subtle_attack,600_699,risky_prompt,16
spml_papago_family,obfuscated_attack,100_199,risky_prompt,16
spml_papago_family,obfuscated_attack,200_299,risky_prompt,20
spml_papago_family,obfuscated_attack,20_99,risky_prompt,19
spml_papago_family,obfuscated_attack,300_399,risky_prompt,18
spml_papago_family,obfuscated_attack,400_499,risky_prompt,17
spml_papago_family,obfuscated_attack,500_599,risky_prompt,14
spml_papago_family,obfuscated_attack,600_699,risky_prompt,15
spml_papago_family,roleplay_instruction,100_199,risky_prompt,16
spml_papago_family,roleplay_instruction,200_299,risky_prompt,16
spml_papago_family,roleplay_instruction,20_99,risky_prompt,17
spml_papago_family,roleplay_instruction,300_399,risky_prompt,17
spml_papago_family,roleplay_instruction,400_499,risky_prompt,19
spml_papago_family,roleplay_instruction,500_599,risky_prompt,19
spml_papago_family,roleplay_instruction,600_699,risky_prompt,22
spml_papago_family,tool_api_instruction,100_199,risky_prompt,14
spml_papago_family,tool_api_instruction,200_299,risky_prompt,10
spml_papago_family,tool_api_instruction,20_99,risky_prompt,10
spml_papago_family,tool_api_instruction,300_399,risky_prompt,24
spml_papago_family,tool_api_instruction,400_499,risky_prompt,9
spml_papago_family,tool_api_instruction,500_599,risky_prompt,18
spml_papago_family,tool_api_instruction,600_699,risky_prompt,20
